"ID","Branch","Jenis Dokumen","Nomor","Masa Berlaku","Keterangan","Status","Alamat"
"situ96"," ","SITU",,,,"EXPIRED","xxxx"
"situ97","Pasuruan","SITU",,,,"EXPIRED","xxxx"
"situ98","Tuban","SITU",,,,"EXPIRED","xxxx"
"situ99","Denpasar","SITU",,,,"EXPIRED","xxxx"
"situ100","Mataram","SITU",,,,"EXPIRED","xxxx"
"situ101","Benowo-Surabaya","SITU",,,,"EXPIRED","xxxx"
"situ102","Genteng","SITU",,,,"EXPIRED","xxxx"
"situ103","Kepanjen","SITU",,,,"EXPIRED","xxxx"
"situ104","Krian","SITU",,,,"EXPIRED","xxxx"
"situ105","Lamongan","SITU",,,,"EXPIRED","xxxx"
"situ106","Magetan","SITU",,,,"EXPIRED","xxxx"
"situ107","Mojosari","SITU",,,,"EXPIRED","xxxx"
"situ108","Ngawi","SITU",,,,"EXPIRED","xxxx"
"situ109","Ponorogo","SITU",,,,"EXPIRED","xxxx"
"situ110","Babat ","SITU",,,,"EXPIRED","xxxx"
"situ111","Singaraja","SITU",,,,"EXPIRED","xxxx"
"situ112","Gianyar","SITU",,,,"EXPIRED","xxxx"
"situ113","Selong","SITU",,,,"EXPIRED","xxxx"
"situ114","Tabanan","SITU",,,,"EXPIRED","xxxx"
"situ115","Batam","SITU",,,,"EXPIRED","xxxx"
"situ116","Binjai","SITU",,,,"EXPIRED","xxxx"
"situ117","Lubuk Pakam","SITU",,,,"EXPIRED","xxxx"
"situ118","Medan","SITU",,,,"EXPIRED","xxxx"
"situ119","Padang","SITU","1493/SITU/KP2T tanggal 21-Jun-11","2016-06-21","Ada","EXPIRED","xxxx"
"situ120","Pekanbaru","SITU",,,,"EXPIRED","xxxx"
"situ121","Tanjung Pinang","SITU",,,,"EXPIRED","xxxx"
"situ122","Perawang","SITU","503.1/KT-SITU/171/2015 tanggal 11-Nov-15","2020-11-11","Ada","VALID","xxxx"
"situ123","Dumai","SITU",,,,"EXPIRED","xxxx"
"situ124","Duri","SITU","530.08/MDU/SITU/426/2008-2013 tanggal 20-Nov-08","2015-11-20","Ada","EXPIRED","xxxx"
"situ125","Kerinci","SITU","137/KPPT/SITU/2011/373 tanggal 23-Nov-11","2016-11-23","Ada","EXPIRED","xxxx"
"situ126","Padang Sidempuan","SITU",,,,"EXPIRED","xxxx"
"situ127","Rantau Prapat","SITU",,,,"EXPIRED","xxxx"
"situ128","Tebing Tinggi","SITU",,,,"EXPIRED","xxxx"
"situ129","Siak","SITU",,,,"EXPIRED","xxxx"
"situ130","Air Molek","SITU",,,,"EXPIRED","xxxx"
"situ131","Bangkinang","SITU",,,,"EXPIRED","xxxx"
"situ132","Lipat Kain","SITU",,,,"EXPIRED","xxxx"
"situ133","Pangkalan Brandan","SITU",,,,"EXPIRED","xxxx"
"situ134","Payakumbuh","SITU",,,,"EXPIRED","xxxx"
"situ135","Kandis","SITU","530.081/KEC/KDS/110/2016 tanggal 8-Aug-16","2021-08-08","Ada","VALID","xxxx"
"situ136","Stabat","SITU",,,,"EXPIRED","xxxx"
"situ137","Tembung","SITU",,,,"EXPIRED","xxxx"
"situ138","Ujung Tanjung","SITU",,,,"EXPIRED","xxxx"
"situ139","Bengkulu","SITU","5197/BPPT/2011","2011-04-27","Ada","VALID","xxxx"
"situ140","Betung","SITU",,,,"EXPIRED","xxxx"
"situ141","Lubuk Linggau","SITU",,,,"EXPIRED","xxxx"
"situ142","Lampung","SITU","504.1/01125/30.3/20.6/IV/2011 tanggal 19-Apr-11","2016-04-19","Ada","EXPIRED","xxxx"
"situ143","Prabumulih","SITU",,,,"EXPIRED","xxxx"
"situ144","Baturaja","SITU",,,,"EXPIRED","xxxx"
"situ145","Kayu Agung","SITU","551/PTSP-BPPM/SITU/XII/2015 tanggal 21-Dec-15","2020-12-21","Ada","VALID","xxxx"
"situ146","Jambi","SITU","517/793/DTK/2008 tanggal 21-Apr-08","2013-04-21","Ada","EXPIRED","xxxx"
"situ147","Palembang","SITU",,,,"EXPIRED","xxxx"
"situ148","Arga Makmur","SITU",,,,"EXPIRED","xxxx"
"situ149","Belitang","SITU",,,,"EXPIRED","xxxx"
"situ150","Curup","SITU",,,,"EXPIRED","xxxx"
"situ151","Kuala Tungkal","SITU",,,,"EXPIRED","xxxx"
"situ152","Lahat","SITU",,,,"EXPIRED","xxxx"
"situ153","Metro","SITU",,,,"EXPIRED","xxxx"
"situ154","Muara Enim","SITU",,,,"EXPIRED","xxxx"
"situ155","Tembesi","SITU",,,,"EXPIRED","xxxx"
"situ156","Tugu Mulyo","SITU",,,,"EXPIRED","xxxx"
"situ157","Sei Lilin","SITU","280/SITU/BP3M/2016 tanggal 24-Jun-16","2019-06-24","Ada","VALID","xxxx"
"situ158","Banjarmasin","SITU","503-3481/SKTU-ODS.PJ.VI/BP2TPM/2016 tanggal 7-Jun-16","2017-06-10","Ada","EXPIRED","xxxx"
"situ159","Samarinda","SITU",,,,"EXPIRED","xxxx"
"situ160","Tenggarong","SITU",,,,"EXPIRED","xxxx"
"situ161","Tanjung Kalsel","SITU",,,,"EXPIRED","xxxx"
"situ162","Palopo","SITU","02412/SITU/02/X/2015 tanggal 1-Oct-15","2016-10-01","Ada","EXPIRED","xxxx"
"situ163","Gorontalo","SITU",,,,"EXPIRED","xxxx"
"situ164","Makassar","SITU",,,,"EXPIRED","xxxx"
"situ165","Palu","SITU",,,,"EXPIRED","xxxx"
"situ166","Pare-pare","SITU","455/SITU/KPP/7/2014 tanggal 8-Sep-14","2017-09-08","Ada","EXPIRED","xxxx"
"situ167","Barabai","SITU","503/429-UM/KP2T-2016 tanggal 26-Apr-16","2017-04-26","Ada","EXPIRED","xxxx"
"situ168","Pangkep","SITU","100-3/841/SIU/XII/2015 tanggal 21-Dec-15","2018-12-19","Ada","VALID","xxxx"
"situ169","Pinrang","SITU","503/0277/IG-SITU/BP2TPM tanggal 17-Mar-15","2020-03-17","Ada","VALID","xxxx"
"situ170","Sengkang","SITU",,,,"EXPIRED","xxxx"
