"id","kebijakan_id","program_id","kegiatan_id","cost_type_id","code","name"
"mak50","1","1.01","1.01.10","5","650.1.1.01.10.5","Daftar hadir dosen/mata kuliah/Overhead"
"mak51","1","1.02","1.02.01","1","650.1.1.02.01.1","Lembar penyetaraan/Bahan habis pakai"
"mak52","1","1.02","1.02.01","2","650.1.1.02.01.2","Lembar penyetaraan/Honor/Upah"
"mak53","1","1.02","1.02.01","3","650.1.1.02.01.3","Lembar penyetaraan/Sewa"
"mak54","1","1.02","1.02.01","4","650.1.1.02.01.4","Lembar penyetaraan/Outsourcing"
"mak55","1","1.02","1.02.01","5","650.1.1.02.01.5","Lembar penyetaraan/Overhead"
"mak56","1","1.02","1.02.02","1","650.1.1.02.02.1","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu/Bahan habis pakai"
"mak57","1","1.02","1.02.02","2","650.1.1.02.02.2","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu/Honor/Upah"
"mak58","1","1.02","1.02.02","3","650.1.1.02.02.3","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu/Sewa"
"mak59","1","1.02","1.02.02","4","650.1.1.02.02.4","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu/Outsourcing"
"mak60","1","1.02","1.02.02","5","650.1.1.02.02.5","Mahasiswa pindahan sudah mengisi KRS pada minggu ke satu/Overhead"
"mak61","1","1.02","1.02.03","1","650.1.1.02.03.1","Ketersediaan rancangan praktikum/Bahan habis pakai"
"mak62","1","1.02","1.02.03","2","650.1.1.02.03.2","Ketersediaan rancangan praktikum/Honor/Upah"
"mak63","1","1.02","1.02.03","3","650.1.1.02.03.3","Ketersediaan rancangan praktikum/Sewa"
"mak64","1","1.02","1.02.03","4","650.1.1.02.03.4","Ketersediaan rancangan praktikum/Outsourcing"
"mak65","1","1.02","1.02.03","5","650.1.1.02.03.5","Ketersediaan rancangan praktikum/Overhead"
"mak66","1","1.02","1.02.04","1","650.1.1.02.04.1","Jadwal praktikum/Bahan habis pakai"
"mak67","1","1.02","1.02.04","2","650.1.1.02.04.2","Jadwal praktikum/Honor/Upah"
"mak68","1","1.02","1.02.04","3","650.1.1.02.04.3","Jadwal praktikum/Sewa"
"mak69","1","1.02","1.02.04","4","650.1.1.02.04.4","Jadwal praktikum/Outsourcing"
"mak70","1","1.02","1.02.04","5","650.1.1.02.04.5","Jadwal praktikum/Overhead"
"mak71","1","1.02","1.02.05","1","650.1.1.02.05.1","Modul / alat praktikum/Bahan habis pakai"
"mak72","1","1.02","1.02.05","2","650.1.1.02.05.2","Modul / alat praktikum/Honor/Upah"
"mak73","1","1.02","1.02.05","3","650.1.1.02.05.3","Modul / alat praktikum/Sewa"
"mak74","1","1.02","1.02.05","4","650.1.1.02.05.4","Modul / alat praktikum/Outsourcing"
"mak75","1","1.02","1.02.05","5","650.1.1.02.05.5","Modul / alat praktikum/Overhead"
"mak76","1","1.02","1.02.06","1","650.1.1.02.06.1","Bahan habis pakai/Bahan habis pakai"
"mak77","1","1.02","1.02.06","2","650.1.1.02.06.2","Bahan habis pakai/Honor/Upah"
"mak78","1","1.02","1.02.06","3","650.1.1.02.06.3","Bahan habis pakai/Sewa"
"mak79","1","1.02","1.02.06","4","650.1.1.02.06.4","Bahan habis pakai/Outsourcing"
"mak80","1","1.02","1.02.06","5","650.1.1.02.06.5","Bahan habis pakai/Overhead"
"mak81","1","1.02","1.02.07","1","650.1.1.02.07.1","Dana praktikum/Bahan habis pakai"
